activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,33968,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '19.33', 'le': '0.36', 'lle': '3.24', 'sei': '9.08'}",CHEMBL133897,,CHEMBL133897,6.04,False,http://www.openphacts.org/units/Nanomolar,252547,=,1,True,=,,IC50,nM,,920.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.92
,37562,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '16.04', 'le': '0.33', 'lle': '1.50', 'sei': '11.85'}",CHEMBL336398,,CHEMBL336398,6.05,False,http://www.openphacts.org/units/Nanomolar,252533,=,1,True,=,,IC50,nM,,900.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.9
,37566,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL131588,,CHEMBL131588,,False,http://www.openphacts.org/units/Nanomolar,252530,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,38901,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '14.82', 'le': '0.32', 'lle': '1.29', 'sei': '11.76'}",CHEMBL130628,,CHEMBL130628,6.00,False,http://www.openphacts.org/units/Nanomolar,252534,=,1,True,=,,IC50,nM,,1000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,1.0
,41169,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '19.34', 'le': '0.40', 'lle': '3.60', 'sei': '11.12'}",CHEMBL130478,,CHEMBL130478,6.70,False,http://www.openphacts.org/units/Nanomolar,252552,=,1,True,=,,IC50,nM,,200.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,43560,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL130098,,CHEMBL130098,,False,http://www.openphacts.org/units/Nanomolar,252525,<,1,True,<,,IC50,nM,,10.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.01
,44824,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL337486,,CHEMBL337486,,False,http://www.openphacts.org/units/Nanomolar,252538,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,45907,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '21.85', 'le': '0.44', 'lle': '4.18', 'sei': '10.60'}",CHEMBL336538,,CHEMBL336538,6.39,False,http://www.openphacts.org/units/Nanomolar,252527,=,1,True,=,,IC50,nM,,410.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.41
,45911,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL131051,,CHEMBL131051,,False,http://www.openphacts.org/units/Nanomolar,252549,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,47175,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '15.49', 'le': '0.31', 'lle': '3.03', 'sei': '7.77'}",CHEMBL341437,,CHEMBL341437,5.40,False,http://www.openphacts.org/units/Nanomolar,252536,=,1,True,=,,IC50,nM,,4000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,4.0
,48496,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '22.04', 'le': '0.43', 'lle': '3.54', 'sei': '13.50'}",CHEMBL335033,,CHEMBL335033,6.89,False,http://www.openphacts.org/units/Nanomolar,252542,=,1,True,=,,IC50,nM,,130.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.13
,49920,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '19.61', 'le': '0.38', 'lle': '2.78', 'sei': '13.01'}",CHEMBL338720,,CHEMBL338720,6.64,False,http://www.openphacts.org/units/Nanomolar,252543,=,1,True,=,,IC50,nM,,230.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.23
,49923,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '22.30', 'le': '0.44', 'lle': '3.73', 'sei': '12.61'}",CHEMBL339995,,CHEMBL339995,6.43,False,http://www.openphacts.org/units/Nanomolar,252541,=,1,True,=,,IC50,nM,,370.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.37
,49926,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL335158,,CHEMBL335158,,False,http://www.openphacts.org/units/Nanomolar,252532,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,52421,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL106126,,CHEMBL106126,,False,http://www.openphacts.org/units/Nanomolar,252545,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,57405,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '17.95', 'le': '0.38', 'lle': '2.28', 'sei': '11.85'}",CHEMBL130666,,CHEMBL130666,6.05,False,http://www.openphacts.org/units/Nanomolar,252535,=,1,True,=,,IC50,nM,,900.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.9
,61339,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL134061,,CHEMBL134061,,False,http://www.openphacts.org/units/Nanomolar,252539,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,62584,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '24.24', 'le': '0.48', 'lle': '4.19', 'sei': '13.13'}",CHEMBL133388,,CHEMBL133388,6.70,False,http://www.openphacts.org/units/Nanomolar,252556,=,1,True,=,,IC50,nM,,200.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,62587,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '14.33', 'le': '0.30', 'lle': '2.23', 'sei': '8.06'}",CHEMBL130645,,CHEMBL130645,4.85,False,http://www.openphacts.org/units/Nanomolar,252540,=,1,True,=,,IC50,nM,,14000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,14.0
,65199,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '23.49', 'le': '0.50', 'lle': '4.06', 'sei': '14.31'}",CHEMBL336524,,CHEMBL336524,7.30,False,http://www.openphacts.org/units/Nanomolar,252554,=,1,True,=,,IC50,nM,,50.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.05
,65202,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '18.83', 'le': '0.37', 'lle': '2.06', 'sei': '12.78'}",CHEMBL336276,,CHEMBL336276,6.52,False,http://www.openphacts.org/units/Nanomolar,252526,=,1,True,=,,IC50,nM,,300.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.3
,66557,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '21.55', 'le': '0.46', 'lle': '3.37', 'sei': '13.72'}",CHEMBL334395,,CHEMBL334395,7.00,False,http://www.openphacts.org/units/Nanomolar,252555,=,1,True,=,,IC50,nM,,100.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,66560,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '18.40', 'le': '0.38', 'lle': '2.90', 'sei': '12.42'}",CHEMBL131320,,CHEMBL131320,6.34,False,http://www.openphacts.org/units/Nanomolar,252553,=,1,True,=,,IC50,nM,,460.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.46
,66563,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,,,CHEMBL1148382,J. Med. Chem.,2004,,CHEMBL339297,,CHEMBL339297,,False,http://www.openphacts.org/units/Nanomolar,252546,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,50.0
,67680,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '21.19', 'le': '0.43', 'lle': '3.78', 'sei': '13.72'}",CHEMBL337714,,CHEMBL337714,7.00,False,http://www.openphacts.org/units/Nanomolar,252544,=,1,True,=,,IC50,nM,,100.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,70463,[],CHEMBL654878,Inhibitory concentration against butyrylcholinesterase.,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,,,CHEMBL1148382,J. Med. Chem.,2004,"{'bei': '17.90', 'le': '0.35', 'lle': '3.42', 'sei': '9.46'}",CHEMBL130704,,CHEMBL130704,5.70,False,http://www.openphacts.org/units/Nanomolar,252537,=,1,True,=,,IC50,nM,,2000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,2.0
,107312,[],CHEMBL655896,Inhibition of Butyrylcholinesterase (BChE) of human erythrocytes [-log IC50 (uM)],B,,,BAO_0000190,BAO_0000019,assay format,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131149,J. Med. Chem.,1998,,CHEMBL19060,BENEXTRAMINE,CHEMBL19060,,False,http://www.openphacts.org/units/Nanomolar,256320,=,1,True,=,,IC50,nM,,162181009735893.3,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,Log IC50,,UO_0000065,,5.21
,107652,[],CHEMBL654405,In vitro inhibitory activity against Butyrylcholinesterase (BChE) in human serum,B,,,BAO_0000190,BAO_0000366,cell-free format,CCOC(=O)N(C)CC[C@@]12C=C[C@H](O)C[C@@H]1Oc1c(OC)ccc(C=O)c12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1146616,Bioorg. Med. Chem. Lett.,2003,,CHEMBL75644,,CHEMBL75644,,False,http://www.openphacts.org/units/Nanomolar,140432,=,1,True,=,,IC50,nM,,155000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,155.0
,108295,[],CHEMBL655896,Inhibition of Butyrylcholinesterase (BChE) of human erythrocytes [-log IC50 (uM)],B,,,BAO_0000190,BAO_0000019,assay format,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131149,J. Med. Chem.,1998,,CHEMBL422977,,CHEMBL422977,,False,http://www.openphacts.org/units/Nanomolar,256330,=,1,True,=,,IC50,nM,,269153480392691.4,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,Log IC50,,UO_0000065,,5.43
,110093,[],CHEMBL654405,In vitro inhibitory activity against Butyrylcholinesterase (BChE) in human serum,B,,,BAO_0000190,BAO_0000366,cell-free format,CCOC(=O)N1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1146616,Bioorg. Med. Chem. Lett.,2003,,CHEMBL75699,,CHEMBL75699,,False,http://www.openphacts.org/units/Nanomolar,140430,=,1,True,=,,IC50,nM,,300000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,300.0
,110096,[],CHEMBL654405,In vitro inhibitory activity against Butyrylcholinesterase (BChE) in human serum,B,,,BAO_0000190,BAO_0000366,cell-free format,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)OC2,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1146616,Bioorg. Med. Chem. Lett.,2003,,CHEMBL310961,,CHEMBL310961,,False,http://www.openphacts.org/units/Nanomolar,140431,=,1,True,=,,IC50,nM,,960000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,960.0
,110099,[],CHEMBL654405,In vitro inhibitory activity against Butyrylcholinesterase (BChE) in human serum,B,,,BAO_0000190,BAO_0000366,cell-free format,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,,,CHEMBL1146616,Bioorg. Med. Chem. Lett.,2003,"{'bei': '16.51', 'le': '0.31', 'lle': '2.89', 'sei': '11.32'}",CHEMBL659,GALANTAMINE,CHEMBL659,4.75,False,http://www.openphacts.org/units/Nanomolar,140435,=,1,True,=,,IC50,nM,,18000.0,CHEMBL1914,Homo sapiens,Butyrylcholinesterase,9606,,,IC50,uM,UO_0000065,,18.0
