,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,0,312.32500000000005,2.8032000000000004,0.0,6.0,6.036212172654444
1,CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,0,376.9130000000002,4.554600000000004,0.0,5.0,6.045757490560675
2,CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,2,426.8510000000001,5.357400000000003,0.0,5.0,4.301029995663981
3,CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,0,404.8450000000001,4.706900000000003,0.0,5.0,6.0
4,CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,0,346.33400000000006,3.095300000000001,0.0,6.0,6.698970004336019
5,CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,0,296.783,2.850100000000001,0.0,5.0,8.0
6,CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,2,408.95500000000027,4.571200000000005,0.0,6.0,4.301029995663981
7,CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,0,292.364,2.2053000000000003,0.0,6.0,6.3872161432802645
8,CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,2,408.4050000000001,4.670100000000003,0.0,6.0,4.301029995663981
10,CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,0,312.3980000000001,3.3499000000000017,0.0,5.0,6.886056647693163
11,CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,0,338.4360000000001,3.8637000000000032,0.0,5.0,6.638272163982407
12,CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,0,288.37600000000003,2.700100000000001,0.0,5.0,6.431798275933005
13,CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,2,406.9830000000003,5.724900000000006,0.0,5.0,4.301029995663981
14,CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,2,266.34099999999995,2.5731200000000003,0.0,4.0,4.301029995663981
15,CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,0,336.8480000000002,3.7744000000000026,0.0,5.0,6.045757490560675
16,CHEMBL134061,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,2,406.81700000000006,3.553200000000002,0.0,6.0,4.301029995663981
17,CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,0,276.365,2.5051200000000007,0.0,5.0,6.698970004336019
18,CHEMBL130645,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,2,338.82000000000016,2.620700000000001,0.0,6.0,4.853871964321762
